epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1113.76,0.90032,0.79658,1.0984,0.58075,0.42708,0.42236,0.25921,1.5428,2.13521,1.67856,0.00101873,0.00101873,0.00101873
60,1132.76,0.87993,0.77641,1.07951,0.59233,0.49502,0.55851,0.40544,1.28396,1.77869,1.44047,0.00101166,0.00101166,0.00101166
61,1152.29,0.85259,0.75607,1.06834,0.55765,0.46547,0.47689,0.32555,1.39565,1.89368,1.53358,0.00100459,0.00100459,0.00100459
62,1170.9,0.89464,0.79974,1.08788,0.67854,0.39751,0.43685,0.29377,1.33641,2.27866,1.53265,0.000997513,0.000997513,0.000997513
63,1190.53,0.89688,0.79586,1.08563,0.68729,0.5661,0.59991,0.43248,1.35043,1.79619,1.54462,0.00099044,0.00099044,0.00099044
64,1209.48,0.87673,0.77861,1.06935,0.68016,0.5199,0.58273,0.43463,1.54712,1.76512,1.74088,0.000983366,0.000983366,0.000983366
65,1228.17,0.88149,0.76855,1.08489,0.59956,0.44111,0.41218,0.31712,1.35008,2.11671,1.5361,0.000976293,0.000976293,0.000976293
66,1247.36,0.88647,0.77171,1.07748,0.70459,0.45701,0.54589,0.40796,1.29514,1.69657,1.48824,0.000969219,0.000969219,0.000969219
67,1265.5,0.87772,0.75015,1.06467,0.57798,0.63514,0.56115,0.42278,1.4165,1.9048,1.65438,0.000962146,0.000962146,0.000962146
68,1284.86,0.83831,0.72401,1.06325,0.66757,0.48006,0.53096,0.41042,1.44558,1.91674,1.62237,0.000955072,0.000955072,0.000955072
69,1303.41,0.85411,0.74768,1.06791,0.61829,0.46886,0.57502,0.39857,1.40697,1.77038,1.60489,0.000947999,0.000947999,0.000947999
70,1322.76,0.82068,0.7304,1.06744,0.70676,0.49649,0.51685,0.35202,1.41569,2.03514,1.67779,0.000940925,0.000940925,0.000940925
71,1341.42,0.83676,0.71381,1.05197,0.66311,0.51711,0.51842,0.35129,1.53821,1.99174,1.97613,0.000933851,0.000933851,0.000933851
72,1360,0.86378,0.77051,1.07277,0.69964,0.51602,0.54324,0.38624,1.38741,1.81879,1.58341,0.000926778,0.000926778,0.000926778
73,1379.48,0.85047,0.73267,1.06083,0.60266,0.60415,0.60509,0.43298,1.27503,1.82259,1.47221,0.000919704,0.000919704,0.000919704
74,1397.79,0.81468,0.70721,1.05135,0.61716,0.49258,0.52522,0.40901,1.26962,1.80719,1.47105,0.000912631,0.000912631,0.000912631
75,1417.24,0.83793,0.7164,1.05917,0.69115,0.39686,0.51094,0.34972,1.27274,1.73655,1.50257,0.000905557,0.000905557,0.000905557
76,1435.81,0.8157,0.70215,1.05391,0.7306,0.58608,0.61206,0.4047,1.31207,1.51597,1.61738,0.000898484,0.000898484,0.000898484
77,1455.15,0.79582,0.68793,1.05224,0.5394,0.38004,0.44565,0.31111,1.36261,1.89749,1.55048,0.00089141,0.00089141,0.00089141
78,1474.59,0.80754,0.70712,1.04759,0.57392,0.28049,0.3729,0.27098,1.40972,2.05275,1.61352,0.000884337,0.000884337,0.000884337
79,1492.64,0.76671,0.67405,1.04559,0.68503,0.45939,0.52156,0.35519,1.4265,1.80227,1.5962,0.000877263,0.000877263,0.000877263
80,1512.24,0.81785,0.65891,1.02737,0.82918,0.40991,0.51872,0.33884,1.32988,1.7276,1.58169,0.00087019,0.00087019,0.00087019
81,1530.87,0.83144,0.69848,1.04616,0.42498,0.55828,0.45263,0.30207,1.49624,2.01389,1.7764,0.000863116,0.000863116,0.000863116
82,1549.71,0.80928,0.67515,1.04989,0.62481,0.4855,0.53179,0.37702,1.44119,1.94399,1.64027,0.000856042,0.000856042,0.000856042
83,1568.29,0.79963,0.65568,1.03306,0.4987,0.31363,0.41123,0.3072,1.4437,1.94186,1.74514,0.000848969,0.000848969,0.000848969
84,1586.92,0.79267,0.66982,1.04111,0.42358,0.57715,0.47418,0.33469,1.59382,1.81349,1.7965,0.000841895,0.000841895,0.000841895
85,1606.98,0.80095,0.68806,1.04941,0.62288,0.34548,0.43096,0.29969,1.55166,2.12967,1.84583,0.000834822,0.000834822,0.000834822
86,1624.96,0.77695,0.65029,1.02887,0.49967,0.62632,0.58571,0.42467,1.39736,1.57737,1.64568,0.000827748,0.000827748,0.000827748
87,1644.37,0.78438,0.648,1.03382,0.59217,0.36473,0.44005,0.28514,1.47986,1.74672,1.73618,0.000820675,0.000820675,0.000820675
88,1662.96,0.76062,0.65238,1.03323,0.57298,0.50004,0.53644,0.38548,1.42389,1.92283,1.64005,0.000813601,0.000813601,0.000813601
89,1681.73,0.80429,0.67091,1.04662,0.72278,0.56243,0.6195,0.43817,1.40808,1.62435,1.60823,0.000806528,0.000806528,0.000806528
90,1701.38,0.78709,0.65306,1.04572,0.64062,0.54055,0.57309,0.39549,1.42052,1.69664,1.69329,0.000799454,0.000799454,0.000799454
91,1719.67,0.76307,0.64296,1.02748,0.6792,0.46816,0.58376,0.42374,1.39275,1.72236,1.58345,0.00079238,0.00079238,0.00079238
92,1738.87,0.77008,0.63654,1.03514,0.67386,0.54991,0.57742,0.41678,1.43406,1.81351,1.67099,0.000785307,0.000785307,0.000785307
93,1757.59,0.76406,0.62976,1.02106,0.66263,0.57979,0.64599,0.45877,1.23092,1.67067,1.45067,0.000778233,0.000778233,0.000778233
94,1775.8,0.76868,0.63374,1.02115,0.67068,0.61734,0.65346,0.4948,1.37319,1.80362,1.55873,0.00077116,0.00077116,0.00077116
95,1795.39,0.77345,0.64785,1.0257,0.64547,0.4289,0.53605,0.37123,1.43084,1.82782,1.60962,0.000764086,0.000764086,0.000764086
96,1813.74,0.73115,0.62117,1.00834,0.54163,0.41931,0.40872,0.27425,1.45229,1.8981,1.739,0.000757013,0.000757013,0.000757013
97,1833.62,0.74716,0.63088,1.02964,0.69424,0.53298,0.59224,0.4432,1.33362,1.79104,1.49455,0.000749939,0.000749939,0.000749939
98,1852.35,0.74948,0.6205,1.01804,0.58415,0.57559,0.53139,0.40201,1.41667,1.87901,1.67649,0.000742866,0.000742866,0.000742866
99,1871.42,0.76375,0.63769,1.02706,0.59443,0.45425,0.50692,0.385,1.17936,1.65557,1.42737,0.000735792,0.000735792,0.000735792
100,1890.4,0.74708,0.60451,1.0069,0.55588,0.38776,0.42764,0.31928,1.38664,1.94953,1.53783,0.000728719,0.000728719,0.000728719
101,1908.91,0.74233,0.60945,1.02065,0.80077,0.57993,0.67998,0.49688,1.25485,1.74054,1.49066,0.000721645,0.000721645,0.000721645
102,1928.78,0.74187,0.60331,1.01296,0.54909,0.62491,0.61902,0.44734,1.22953,1.60736,1.517,0.000714571,0.000714571,0.000714571
103,1947.12,0.74828,0.60935,1.02351,0.68914,0.50861,0.62623,0.45032,1.29074,1.96553,1.51386,0.000707498,0.000707498,0.000707498
104,1966.91,0.76681,0.62309,1.01441,0.79704,0.43024,0.58466,0.43002,1.37664,1.93696,1.55698,0.000700424,0.000700424,0.000700424
105,1984.97,0.72759,0.58484,1.00677,0.70153,0.42108,0.48824,0.34396,1.45934,2.10616,1.67699,0.000693351,0.000693351,0.000693351
106,2003.51,0.74918,0.61418,1.01458,0.7931,0.42645,0.53959,0.40416,1.3608,1.75912,1.5746,0.000686277,0.000686277,0.000686277
107,2023.1,0.73975,0.60107,1.0066,0.53765,0.4537,0.46535,0.33441,1.24263,1.64907,1.49571,0.000679204,0.000679204,0.000679204
108,2041.23,0.74852,0.60368,1.01399,0.52793,0.46304,0.47028,0.33423,1.37702,1.88296,1.73301,0.00067213,0.00067213,0.00067213
