epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2651.16,0.50233,0.44121,0.92168,0.58503,0.47441,0.46603,0.36381,0.74077,1.68115,0.98128,0.0005731,0.0005731,0.0005731
123,2672.45,0.49613,0.42718,0.92292,0.4706,0.47233,0.45677,0.34188,0.76474,1.47999,1.01505,0.000566027,0.000566027,0.000566027
124,2695.01,0.55507,0.47364,0.93586,0.48244,0.50959,0.50685,0.40645,0.74319,1.3749,0.94695,0.000558953,0.000558953,0.000558953
125,2715.55,0.48884,0.42383,0.91369,0.53435,0.50959,0.49526,0.38538,0.81377,1.4536,1.03467,0.00055188,0.00055188,0.00055188
126,2737.07,0.48568,0.4207,0.91338,0.45077,0.5844,0.5293,0.41342,0.82762,1.8578,1.05987,0.000544806,0.000544806,0.000544806
127,2758.6,0.52654,0.43869,0.92237,0.4419,0.65492,0.52458,0.41646,0.78081,2.29876,0.99974,0.000537733,0.000537733,0.000537733
128,2780.67,0.48976,0.41851,0.91299,0.61408,0.52917,0.5071,0.40485,0.83415,2.73293,1.04403,0.000530659,0.000530659,0.000530659
129,2802.65,0.51634,0.43558,0.92125,0.42246,0.6409,0.54174,0.42262,0.75815,2.45929,0.95809,0.000523586,0.000523586,0.000523586
130,2823.83,0.49606,0.44081,0.92551,0.54481,0.52329,0.49965,0.37246,0.83279,1.42861,1.05779,0.000516512,0.000516512,0.000516512
131,2845.82,0.51837,0.43923,0.92618,0.49833,0.5572,0.53364,0.41151,0.75557,3.5053,1.00102,0.000509438,0.000509438,0.000509438
132,2868.04,0.46671,0.42743,0.91684,0.79317,0.50897,0.58394,0.45868,0.76719,2.05683,1.00218,0.000502365,0.000502365,0.000502365
133,2888.68,0.54158,0.44069,0.92638,0.59042,0.51954,0.53986,0.41489,0.77373,3.26707,0.99383,0.000495291,0.000495291,0.000495291
134,2910.7,0.51438,0.43354,0.92166,0.64057,0.47817,0.50713,0.39093,0.80776,2.93432,1.01647,0.000488218,0.000488218,0.000488218
135,2932.42,0.50746,0.426,0.91576,0.54361,0.52496,0.47369,0.34538,0.83953,4.44894,1.10953,0.000481144,0.000481144,0.000481144
136,2953.66,0.51441,0.43747,0.91778,0.54485,0.53463,0.46659,0.35717,0.75901,3.22584,0.99543,0.000474071,0.000474071,0.000474071
137,2975.64,0.5112,0.43731,0.92688,0.5307,0.54004,0.55729,0.43614,0.77824,3.3436,1.01833,0.000466997,0.000466997,0.000466997
138,2996.27,0.4864,0.40173,0.9075,0.54448,0.37787,0.46493,0.38352,0.77106,2.85549,0.98419,0.000459924,0.000459924,0.000459924
139,3018.11,0.51786,0.43201,0.92111,0.64501,0.43288,0.48406,0.37392,0.76088,1.41218,0.98443,0.00045285,0.00045285,0.00045285
